No,Symbol,Value,Footprint,Datasheet,Part,Qty,Qty of PCB,Qty full,Qty Send to factory (Optional)
1,C1,10uF,C_0603,,,1,,,
2,"C4, C5, C7, C8, C9",0.1uF,C_0603,,,5,,,
3,C6,1uF,C_0603,,,1,,,
4,"D1 - D43, D45 - D73",1N4148W,DIODE 1206,,,73,,,
5,D44,LED,LED 6028,,,1,,,
6,USB1,HRO-31-M-12-TYPE-C,HRO-31-M-12-TYPE-C,,,1,,,
7,"R1, R2",5.1k,R_0805,,,2,,,
8,"R3, R4",22R,R_0603,,,2,,,
9,"R5, R8, R9",10k,R_0805,,,3,,,
10,R6,1k,R_0805,,,1,,,
11,"R7, R8",300R,R_0805,,,2,,,
12,RGB1 - RGB23,WS2812B,PLCC4 5050,,,23,,,
13,SW,Switch,SKQG 1155865,,,1,,,
14,U1,PRTR5V0U2X,SOT143B,,,1,,,
15,U2,Atmega32U4 - MU,QFN44,,,1,,,
16,Y1,16mHz,CSTCE 3Pin,,,1,,,
17,,,,,,,,,
18,,,,,,,,,
19,,,,,,,,,
20,,,,,,,,,
21,,,,,,,,,
22,,,,,,,,,
23,,,,,,,,,
24,,,,,,,,,
25,,,,,,,,,
26,,,,,,,,,
27,,,,,,,,,
28,,,,,,,,,
29,,,,,,,,,
30,,,,,,,,,
Total SMD Component,,,,,,,,,